Key,Value
uc1.b3354027,1901
uc1.b3354028,1901
uc1.b3354029,1901
uc1.b3354030,1901
uc1.b3354031,1901
uc1.b3354032,1901
mdp.39015028374950,1918
mdp.39015035536401,1912
mdp.39015063689197,1907
msu.31293027916414,1904
mdp.39015035560377,1888
mdp.39015035560369,1891
mdp.39015035560351,1894
mdp.39015035560344,1898
mdp.39015035560336,1902
mdp.39015035560328,1905
mdp.39015035560310,1910
mdp.39015035560302,1911
chi.44251445,1905
chi.41489156,1913
chi.44251356,1892
chi.44251318,1886
mdp.39015067225261,1915
wu.89092610435,1918
nyp.33433090930458,1915
mdp.39015036824731,1907
coo.31924112820331,1909
coo.31924112820398,1910
coo.31924112820455,1908
coo.31924112820463,1911
coo.31924112820497,1911
coo.31924112820521,1912
coo.31924112820554,1908
coo.31924112820562,1913
coo.31924112820588,1913
coo.31924112820612,1915
coo.31924112820653,1914
coo.31924112820661,1916
coo.31924112820752,1914
hvd.32044039131487,1908
hvd.32044108110941,1908
hvd.32044108110792,1908
gri.ark:/13960/t6c30hm3m,1916
gri.ark:/13960/t5m95tz45,1916
gri.ark:/13960/t8z94vg3c,1916
gri.ark:/13960/t88h49j7f,1916
gri.ark:/13960/t3cz8wv2n,1916
gri.ark:/13960/t7np7rh3f,1916
gri.ark:/13960/t06x51s9x,1916
gri.ark:/13960/t7vn03135,1916
mdp.39015013146611,1912
mdp.39015013146629,1912
mdp.39015013146645,1912
mdp.39015013146652,1912
mdp.39015031457412,1913
mdp.39015030160975,1915
mdp.39015030160967,1915
mdp.39015036824855,1908
mdp.39015036824863,1907
mdp.39015036824871,1907
mdp.39015035477036,1908
mdp.39015035477028,1908
mdp.39015035477010,1908
mdp.39015035518250,1909
mdp.39015035518243,1909
mdp.39015035518235,1910
mdp.39015039720746,1910
mdp.39015039720753,1910
mdp.39015039720761,1910
mdp.39015039720779,1911
mdp.39015039348555,1911
mdp.39015039348563,1911
mdp.39015039348571,1911
mdp.39015069922899,1913
mdp.39015069922907,1914
mdp.39015069922915,1914
mdp.39015069922709,1916
mdp.39015069922717,1916
mdp.39015069920943,1908
coo.31924112820323,1909
coo.31924112820349,1909
coo.31924112820414,1909
coo.31924112820430,1911
coo.31924112820448,1911
coo.31924112820471,1911
coo.31924112820547,1913
coo.31924112820570,1913
uc1.$c30464,1910
uc1.$c111952,1908
uc1.$c111953,1908
uc1.$c111954,1909
uc1.$c111955,1909
uc1.$c111956,1910
uc1.$c111959,1911
uc1.$c111960,1911
uc1.$c111961,1912
uc1.$c111962,1912
uc1.$c111964,1913
uc1.$c111967,1915
uc1.$c111969,1916
uc1.$c112052,1907
uc1.$c112053,1907
chi.088686505,1908
chi.23406182,1908
chi.24204493,1908
chi.23406264,1908
chi.23646848,1908
chi.097927578,1907
chi.097927641,1907
chi.097927633,1907
uc1.aa0001805209,1915
uc1.aa0001805217,1915
uc1.aa0001805225,1915
uc1.$c111958,1910
uc1.b000356657,1910
njp.32101067584548,1915
njp.32101067584555,1915
njp.32101067584563,1915
njp.32101067584571,1915
njp.32101067584589,1912
njp.32101067584597,1912
njp.32101067584605,1912
njp.32101067584613,1912
njp.32101067584621,1909
njp.32101067584639,1909
njp.32101067584647,1909
njp.32101067584654,1909
njp.32101067584662,1909
njp.32101067584670,1909
njp.32101067584688,1909
njp.32101067584696,1909
njp.32101067584704,1909
njp.32101067584712,1909
njp.32101067584720,1908
njp.32101067584738,1908
njp.32101067584746,1908
njp.32101067584753,1908
njp.32101067584761,1908
njp.32101067584779,1908
njp.32101067584787,1908
njp.32101067584795,1908
njp.32101067584803,1908
njp.32101067584811,1908
njp.32101067584829,1907
njp.32101067584837,1907
njp.32101042857480,1914
njp.32101042857555,1914
njp.32101042857571,1916
njp.32101042857589,1916
njp.32101042857597,1916
njp.32101042857605,1916
njp.32101042857613,1914
njp.32101042857621,1913
njp.32101042857639,1913
njp.32101042857647,1913
njp.32101042857662,1912
njp.32101042857670,1910
njp.32101042857688,1910
njp.32101042857696,1910
njp.32101042857704,1908
njp.32101042857712,1914
njp.32101042857720,1914
njp.32101042857738,1911
njp.32101042857746,1911
njp.32101042857753,1911
njp.32101042857761,1910
njp.32101042857779,1910
njp.32101042857787,1910
njp.32101042857795,1911
njp.32101042857803,1911
njp.32101042857811,1911
njp.32101042857829,1911
njp.32101042857837,1910
njp.32101042857845,1910
njp.32101042857852,1910
njp.32101042857860,1911
njp.32101042857878,1911
njp.32101042857886,1911
njp.32101042857894,1911
njp.32101042857654,1913
pst.000014542053,1909
pst.000014542473,1909
pst.000014542183,1909
pst.000014542107,1909
pst.000014541940,1915
pst.000014542015,1915
pst.000014541872,1916
pst.000012809530,1916
uc1.aa0002291540,1915
osu.32435053130522,1909
osu.32435053130969,1909
osu.32435053130662,1915
osu.32435053130563,1918
mdp.39015011415661,1909
mdp.39015011422345,1910
mdp.39015011422246,1911
mdp.39015011422253,1912
mdp.39015027787798,1913
mdp.39015039790939,1914
mdp.39015011415588,1915
mdp.39015033700462,1916
mdp.39015006952868,1918
mdp.39015006952926,1924
mdp.39015052498063,1919
uc1.a0013210331,1922
uiug.30112120086290,1898
uiug.30112120086308,1904
uiug.30112120086316,1906
uiug.30112120086324,1908
uiug.30112004450661,1924
uiug.30112004450687,1926
uiug.30112033608842,1902
uiug.30112074283265,1924
uiug.30112120086183,1910
uiug.30112120086191,1912
uiug.30112120086209,1914
uiug.30112120086217,1916
uc1.31210010645164,1922
uc1.a0013210349,1923
mdp.39015039504314,1918
mdp.39015039504330,1920
mdp.39015005171593,1921
ien.35556003162153,1922
umn.319510014610666,1922
mdp.39015034612146,1926
inu.30000125511711,1923
mdp.39015023946869,1922
mdp.39015034106008,1925
mdp.39015034745805,1924
coo.31924000795223,-1
coo.31924058781364,-1
mdp.39015082097083,1903
uiug.30112088166548,1910
uiug.30112088166555,1911
mdp.39015076597205,1913
hvd.hnp3kr,1913
hvd.hnnn2i,1913
coo.31924015266335,1902
coo.31924066207659,1902
coo.31924066207667,1903
coo.31924066207675,1903
coo.31924066228226,1899
coo.31924066228234,1899
coo.31924066207683,1904
coo.31924066207691,1904
gri.ark:/13960/t1tf72w04,1899
gri.ark:/13960/t9190k993,1899
gri.ark:/13960/t9m403k03,1900
gri.ark:/13960/t76t7z783,1901
gri.ark:/13960/t6c325x57,1900
gri.ark:/13960/t4jm9jk73,1901
gri.ark:/13960/t3tv1wt9x,1902
gri.ark:/13960/t0ht9x69b,1904
gri.ark:/13960/t6k14c905,1904
gri.ark:/13960/t7kq59k8b,1903
gri.ark:/13960/t2s53zn89,1904
gri.ark:/13960/t7wm8km80,1903
mdp.39015026738172,1918
mdp.39015035924474,1902
mdp.39015035924466,1903
mdp.39015035924458,1903
mdp.39015035924441,-1
mdp.39015035924433,1906
mdp.39015035924425,1907
mdp.39015035924417,1907
mdp.39015035924409,1909
mdp.39015035924631,1910
mdp.39015035924623,1911
mdp.39015035924615,1912
mdp.39015035924607,1913
mdp.39015035924599,1914
mdp.39015035924581,1914
mdp.39015035924573,1916
mdp.39015035924565,1918
mdp.39015025895056,1898
njp.32101061009112,1917
njp.32101061009120,1917
njp.32101061009138,1917
njp.32101061009146,1917
njp.32101061009153,1917
coo.31924106913050,1913
coo.31924106913068,1914
uc1.$b601870,1917
uc1.$b601871,1917
uc1.b3795342,1917
uc1.b3795343,1917
uc1.b3796053,1917
mdp.39015062921765,1915
umn.31951p01125923f,1896
umn.31951d00544787i,1904
umn.31951d00544781u,1901
umn.31951d00544780w,1900
umn.31951d00544798d,1915
umn.31951d00544783q,1902
umn.31951d00544796h,1914
umn.31951d00544792p,1911
umn.31951d00544789e,1905
umn.31951d00544784o,1902
umn.31951d00544790t,1905
umn.31951d00544788g,1904
umn.31951d00544797f,1914
umn.31951d00544785m,1903
umn.31951d00544778j,1891
umn.31951d00544782s,1901
umn.31951d00544794l,1912
umn.31951d00544799b,1915
umn.31951d00544779h,1892
umn.31951d00544793n,1911
umn.31951d00544786k,1903
umn.31951d00544791r,1906
mdp.39015081237847,1903
uiug.30112119593173,1898
uiug.30112119593207,1897
uiug.30112119593215,1900
uiug.30112119593223,1874
uiug.30112119593280,1838
uiug.30112084953840,1896
uiug.30112119593058,1909
uiug.30112119593066,1917
uiug.30112119593181,1878
uiug.30112119593231,1877
uiug.30112119593249,1847
uiug.30112119593256,1856
uiug.30112119593264,1858
uiug.30112119593272,1873
uiug.30112119593298,1840
uiug.30112119593306,1875
uiug.30112119593314,1836
uiug.30112124663383,1916
uiug.30112124663391,1916
uiug.30112124663409,1915
uiug.30112124663417,1915
uiug.30112124663425,1913
uiug.30112124663433,1913
uiug.30112124663441,1913
uiug.30112124666154,1904
uiug.30112124666204,1910
uiug.30112124666212,1910
uiug.30112124666220,1910
uiug.30112124666238,1903
uiug.30112124666246,1903
uiug.30112124666253,1914
uiug.30112124666261,1914
uiug.30112124666279,1914
uiug.30112124666287,1911
uiug.30112124666295,1911
uiug.30112124666303,1905
uiug.30112124666311,1905
uiug.30112124666469,1906
uiug.30112124666477,1906
uiug.30112124666121,1907
uiug.30112124666139,1907
uiug.30112124666147,1904
uiug.30112124666162,1904
uiug.30112124666170,1893
uiug.30112124666188,1908
uiug.30112124666196,1910
uiug.30112124666485,1906
gri.ark:/13960/t13n26g8x,1912
chi.101480953,1900
uiug.30112087466477,1915
hvd.32044019311786,1894
hvd.32044017900754,1891
hvd.32044099736068,1895
hvd.32044099736126,1898
hvd.32044099736217,1907
hvd.32044099736092,1890
hvd.32044099736225,1906
hvd.32044099735995,1886
hvd.32044099736159,1902
hvd.32044099736100,1900
hvd.32044099736050,1896
hvd.32044099736183,1904
hvd.32044099736084,1892
hvd.32044099736118,1899
hvd.32044099736167,1901
hvd.32044099736001,1885
hvd.32044099736209,1908
hvd.32044099736142,1903
hvd.32044099736134,1897
hvd.32044099736175,1905
hvd.32044099736076,1893
hvd.32044099766628,1887
wu.89091267070,1888
wu.89091267104,1889
mdp.39015068560070,1899
mdp.39015068560385,1904
mdp.39015049899274,1921
mdp.39015049899316,1925
mdp.39015049899324,1926
mdp.39015027534083,1922
mdp.39015027534109,1922
mdp.39015027534166,1925
coo.31924057222469,1860
coo.31924057222782,1917
coo.31924057222808,1917
coo.31924057222915,1917
coo.31924057222956,1917
coo.31924057223228,1917
coo.31924057223277,1917
coo.31924057224572,1917
coo.31924083082283,1917
mdp.39015038707843,1860
mdp.39015038707850,1917
uc1.$b806578,1917
uc1.b3503275,1917
uc1.b3616302,1917
uc1.c2704944,1917
uc1.c2704949,1917
uc1.c2704971,1917
uc1.c2705010,1917
uc1.c2705041,1860
uc1.c2705042,1917
uiug.30112057060813,1917
uiug.30112057060862,1917
mdp.39015035383432,1925
mdp.39015035383440,1926
umn.31951001474037s,1883
mdp.39015061653609,1883
umn.31951000752614p,1922
uva.x030529255,1926
uva.x030529254,1926
uva.x030529253,1925
uva.x030529252,1925
uva.x030529251,1925
uva.x030529250,1924
uva.x030529249,1922
uva.x001911891,1923
inu.30000108519350,1924
inu.30000108519368,1925
inu.30000108519384,1926
umn.31951000752616l,1924
umn.31951000752618h,1926
coo.31924091817639,1922
coo.31924091817647,1922
mdp.39015020465475,1922
mdp.39015020465467,1922
mdp.39015019178501,1923
mdp.39015020465459,1924
mdp.39015020465624,1925
mdp.39015020465616,1926
mdp.39015020465442,1926
mdp.39015035536179,1912
uc1.b3058821,1908
uc1.b3058822,1911
uc1.b3058823,1912
uc1.b3084967,1918
uc1.b3084968,1918
uc1.b3084969,1908
uc1.b3084970,1909
uc1.b3084971,1910
uc1.b3084972,1911
uc1.b3084973,1912
uc1.b3084974,1913
mdp.39015039645216,1918
osu.32435052526803,1897
osu.32435052526753,1897
osu.32435052526704,1897
osu.32435052526654,1897
osu.32435052526951,1900
osu.32435052526563,1906
hvd.32044015189426,1902
hvd.32044012230884,1889
hvd.32044036352250,1897
hvd.32044036352094,1900
hvd.32044089925689,1895
hvd.32044089925663,1901
hvd.32044089925671,1898
umn.31951000731495o,1895
coo.31924082051727,1898
coo.31924082051735,1899
coo.31924082051743,1905
coo.31924082051750,1907
coo.31924082051768,1908
coo.31924082051776,1909
inu.30000053571042,1908
inu.30000053571059,1909
inu.30000053571067,1910
inu.30000053571075,1911
inu.30000053571083,1912
inu.30000053571091,1913
inu.30000053571117,1916
inu.30000053570945,1895
inu.30000053570952,1896
inu.30000053570978,1899
inu.30000053570994,1901
inu.30000053571000,1902
inu.30000053571018,1903
inu.30000053571026,1904
inu.30000053571034,1907
mdp.39015034610686,1890
mdp.39015034610694,1891
mdp.39015034610702,1892
inu.30000117656243,1889
inu.30000053571109,1916
umn.31951000731514a,1911
umn.319510007315158,1912
umn.31951000731490y,1889
umn.31951000731494q,1894
umn.31951000731496m,1896
umn.31951000731497k,1897
coo.31924011869751,1921
coo.31924093038564,1922
mdp.39015035848244,1923
mdp.39015035848236,1924
mdp.39015035848228,1924
mdp.39015035848210,1924
mdp.39015035848202,1926
mdp.39015035848368,1926
pst.000052948107,1923
pst.000052948114,1924
pst.000052948121,1926
mdp.39015028727884,1916
mdp.39015028727892,1903
mdp.39015028715731,1911
mdp.39015026758493,1867
mdp.39015026758006,1868
mdp.39015026758014,1868
mdp.39015026758022,1869
mdp.39015026758030,1870
mdp.39015026758048,1871
mdp.39015026758055,1871
mdp.39015028715798,1871
mdp.39015026758063,1872
mdp.39015028715723,1872
mdp.39015026758071,1873
mdp.39015026758089,1873
mdp.39015026758097,1874
mdp.39015026758105,1875
mdp.39015026758113,1875
mdp.39015026758121,1875
mdp.39015026758139,1876
mdp.39015026758147,1876
mdp.39015026758154,1876
mdp.39015026758162,1877
mdp.39015026758170,1877
mdp.39015026758188,1878
mdp.39015026758196,1878
mdp.39015026758204,1878
mdp.39015026758212,1878
mdp.39015026758220,1879
mdp.39015026758238,1880
mdp.39015026758246,1880
mdp.39015026757859,1881
mdp.39015026757867,1880
mdp.39015026757875,1916
mdp.39015026757883,1881
mdp.39015026757891,1881
mdp.39015026757909,1881
mdp.39015026757917,1882
mdp.39015026757925,1882
mdp.39015026757933,1883
mdp.39015026757941,1883
mdp.39015026757958,1884
mdp.39015026757966,1884
mdp.39015026757974,1884
mdp.39015026757982,1885
mdp.39015026757990,1885
mdp.39015026757503,1885
mdp.39015026757511,1885
mdp.39015026757529,1885
mdp.39015026757537,1885
mdp.39015026757545,1885
mdp.39015026757602,1885
mdp.39015026757610,1886
mdp.39015026757628,1886
mdp.39015026757636,1886
mdp.39015026757644,1887
mdp.39015026757651,1886
mdp.39015026757669,1886
mdp.39015026757677,1887
mdp.39015026757685,1887
mdp.39015026757693,1887
mdp.39015026757701,1887
mdp.39015026757719,1887
mdp.39015026757727,1888
mdp.39015026757735,1888
mdp.39015026757743,1888
mdp.39015026762255,1888
mdp.39015026762263,1888
mdp.39015026762271,1889
mdp.39015026762289,1889
mdp.39015026762297,1889
mdp.39015026762305,1889
mdp.39015026762313,1890
mdp.39015026762321,1892
mdp.39015026762339,1891
mdp.39015026762347,1891
mdp.39015026762354,1891
mdp.39015026762362,1891
mdp.39015026762370,1891
mdp.39015026762388,1891
mdp.39015026762396,1891
mdp.39015026762404,1891
mdp.39015026762412,1892
mdp.39015026762420,1892
mdp.39015026762438,1892
mdp.39015026762446,1893
mdp.39015026762453,1893
mdp.39015026762461,1893
mdp.39015026762479,1893
mdp.39015026762487,1893
mdp.39015026762495,1893
mdp.39015026762008,1894
mdp.39015026762016,1894
mdp.39015026762024,1894
mdp.39015026762032,1894
mdp.39015026762040,1895
mdp.39015026762057,1896
mdp.39015026762065,1896
mdp.39015026762073,1896
mdp.39015026762081,1897
mdp.39015026762099,1897
mdp.39015026762107,1898
mdp.39015026762115,1898
mdp.39015026762123,1897
mdp.39015026762131,1898
mdp.39015026762149,1899
mdp.39015026762156,1899
mdp.39015026762164,1900
mdp.39015026762172,1900
mdp.39015026762180,1901
mdp.39015026762198,1901
mdp.39015026762206,1901
mdp.39015026762214,1901
mdp.39015026762222,1902
mdp.39015026762230,1902
mdp.39015026762248,1902
mdp.39015026761752,1904
mdp.39015026761760,1904
mdp.39015026761778,1904
mdp.39015026761786,1905
mdp.39015026761794,1906
mdp.39015026761802,1905
mdp.39015026761810,1906
mdp.39015026761828,1906
mdp.39015026761836,1907
mdp.39015026761844,1908
mdp.39015026761851,1909
mdp.39015026761869,1910
mdp.39015026761877,1909
mdp.39015026761885,1911
mdp.39015026761893,1911
mdp.39015026761901,1911
mdp.39015026761919,1912
mdp.39015026761927,1912
mdp.39015026761935,1912
mdp.39015026761943,1912
mdp.39015026761950,1912
mdp.39015026761968,1913
mdp.39015026761976,1913
mdp.39015026761984,1913
mdp.39015026761992,1914
mdp.39015026761257,1914
mdp.39015026761265,1915
mdp.39015026761273,1915
mdp.39015026761281,1916
chi.19752997,1916
uc1.c2680091,1901
uc1.c2680093,1903
uc1.c2680094,1904
uc1.c2680095,1905
uc1.c2681320,1906
uc1.c2681321,1907
uc1.c2681322,1908
mdp.39015035475022,1875
mdp.39015035475030,1879
mdp.39015035475048,1885
mdp.39015035475055,1886
mdp.39015035475063,1887
mdp.39015035475097,1890
mdp.39015035475105,1891
mdp.39015035475121,1893
mdp.39015035475139,1894
mdp.39015035475147,1895
mdp.39015035475162,1896
mdp.39015035475170,1897
mdp.39015035475188,1897
mdp.39015035475196,1898
mdp.39015035475204,1898
mdp.39015035475212,1899
mdp.39015035475220,1899
mdp.39015035475238,1900
mdp.39015035475246,1900
mdp.39015035475253,1901
mdp.39015035475261,1901
mdp.39015035475279,1902
mdp.39015035475287,1902
mdp.39015035475303,1903
mdp.39015035475329,1904
mdp.39015035475337,1905
mdp.39015035475345,1905
mdp.39015035475352,1906
hvd.32044010660454,1914
coo.31924012477810,1922
mdp.39015027794588,1922
uiug.30112107013648,1905
uiug.30112107013671,1905
uiug.30112107013689,1905
uiug.30112107013697,1905
uiug.30112107013705,1905
uiug.30112107013713,1905
uiug.30112107013721,1905
hvd.hxp1pa,1904
hvd.hxp1p8,1902
hvd.hxp1pc,1903
hvd.hxp1p9,1904
hvd.hxp1pb,1902
mdp.39015016799135,1899
mdp.39015027813446,1905
mdp.39015035141087,1913
mdp.39015078649087,1921
mdp.39015078649079,1923
mdp.39015078649061,1925
mdp.39015078649053,1926
umn.319510027702850,1896
umn.31951002770289s,1900
umn.319510027702923,1903
umn.319510027702931,1904
umn.31951002770294z,1905
umn.31951002770295x,1906
umn.31951002770296v,1907
umn.31951002770297t,1908
umn.31951002770298r,1909
umn.31951002770299p,1910
umn.31951002770305k,1915
umn.31951002770306i,1916
umn.31951002770307g,1917
uiug.30112009367399,1908
uiug.30112009367407,1909
uiug.30112009367415,1910
uiug.30112009367423,1911
uiug.30112009367431,1912
uiug.30112009367449,1913
uiug.30112009367456,1914
uiug.30112009367472,1915
uiug.30112009367480,1916
uiug.30112009367498,1921
uiug.30112009367506,1922
nnc1.cu03262324,1917
nnc1.cu05630223,1914
nnc1.cu05630231,1915
nnc1.cu05630240,1916
mdp.39015080148763,1900
mdp.39015073227327,1895
mdp.39015080163309,1911
mdp.39015080148466,1893
mdp.39015080148615,1894
mdp.39015080148755,1904
mdp.39015080148607,1913
mdp.39015085465360,1875
coo.31924011472986,1905
coo.31924112783430,1909
coo.31924112783448,1911
coo.31924112783455,1912
coo.31924112783463,1913
coo.31924112783471,1916
mdp.39015076293276,1914
wu.89013596861,1910
wu.89013596887,1883
mdp.39015076293342,1906
mdp.39015076293334,1907
coo.31924007341997,1922
mdp.39015018605850,1922
osu.32435028331940,1917
uc1.a0013355516,1907
njp.32101048149791,1908
njp.32101048149809,1909
njp.32101048149817,1909
njp.32101048149825,1909
njp.32101048149890,1906
njp.32101048149908,1907
njp.32101048149916,1917
njp.32101048149924,1908
njp.32101048149932,1908
pst.000001727753,1917
pst.000001727708,1917
pst.000001727654,1917
pst.000001727609,1917
hvd.32044022672554,1917
inu.30000108522404,1924
inu.30000108522412,1925
inu.30000108522420,1926
mdp.39015051421538,1924
mdp.39015051421520,1925
mdp.39015051421512,1926
mdp.39015081166798,1904
mdp.39015081166772,1902
mdp.39015054484582,1900
mdp.39015081166756,1872
mdp.39015081166749,1871
inu.30000130966520,1916
uiug.30112069918248,1874
mdp.39015008247648,-1
mdp.39015035932154,1863
pst.000052972461,1859
pst.000052972478,1859
pst.000052972485,1861
pst.000052970269,1862
pst.000052970276,1863
mdp.39015035854143,1926
mdp.39015039367340,1925
mdp.39015039364636,1922
mdp.39015039364719,1926
uc1.a0014371504,1896
uc1.a0013896493,1896
uc1.a0014371512,1896
uc1.a0014371520,1896
uc1.a0014371538,1896
uc1.a0014371546,1896
uc1.a0014371553,1896
uc1.a0014371561,1896
uc1.a0014371579,1896
uc1.a0014371587,1896
uc1.a0014371595,1896
uc1.a0014371603,1896
uc1.a0014371611,1896
uc1.a0014371629,1897
uc1.a0014371637,1897
uc1.a0014371645,1897
uc1.a0014371652,1897
uc1.a0014371660,1897
uc1.a0014371678,1897
uc1.a0014371686,1897
uc1.a0014371694,1897
uc1.a0014371702,1897
uc1.a0014371710,1897
uc1.a0014371728,1897
uc1.a0014371736,1898
uc1.a0014371744,1898
uc1.a0014371751,1898
uc1.a0014371769,1898
uc1.a0014371777,1898
uc1.a0014371785,1898
uc1.a0014371793,1898
uc1.a0014371801,1898
uc1.a0014371819,1898
uc1.a0014371827,1898
uc1.a0014371835,1898
uc1.a0003804697,1901
uc1.a0003805231,1908
uc1.a0003805280,1909
uc1.a0013913660,1896
mdp.39015012374941,1900
mdp.39015012375021,1900
mdp.39015012374776,1900
mdp.39015012374859,1900
mdp.39015031051801,1899
mdp.39015031051793,1899
mdp.39015031077962,1899
mdp.39015031077954,1899
mdp.39015031077947,1893
mdp.39015031077939,1893
mdp.39015031077905,1893
mdp.39015069596164,1898
mdp.39015069595851,1898
mdp.39015069595869,1898
mdp.39015069595877,1898
mdp.39015069580895,1904
mdp.39015069580747,1911
mdp.39015069580887,1911
mdp.39015069580879,1912
mdp.39015069580382,1912
mdp.39015069580242,1912
mdp.39015069580549,1912
mdp.39015069580341,1913
mdp.39015069580507,1913
mdp.39015069580325,1913
mdp.39015069580226,1913
mdp.39015069580200,1913
mdp.39015069580184,1913
mdp.39015069580481,1913
mdp.39015069580309,1914
mdp.39015069580168,1914
mdp.39015069580283,1914
uc1.a0003804291,1894
uc1.a0003804309,1894
uc1.a0003804317,1894
uc1.a0003804325,1894
uc1.a0003804341,1894
uc1.a0003804358,1896
uc1.a0003804366,1896
uc1.a0003804374,1896
uc1.a0003804382,1896
uc1.a0003804390,1896
uc1.a0003804408,1896
uc1.a0003804416,1896
uc1.a0003804424,1896
uc1.a0003804432,1896
uc1.a0003804440,1896
uc1.a0003804457,1896
uc1.a0003804465,1896
uc1.a0003804473,1897
uc1.a0003804481,1897
uc1.a0003804499,1897
uc1.a0003804507,1897
uc1.a0003804515,1897
uc1.a0003804523,1897
uc1.a0003804531,1897
uc1.a0003804549,1897
uc1.a0003804564,1900
uc1.a0003804572,1900
uc1.a0003804580,1900
uc1.a0003804598,1900
uc1.a0003804606,1900
uc1.a0003804614,1900
uc1.a0003804622,1900
uc1.a0003804630,1900
uc1.a0003804648,1900
uc1.a0003804655,1900
uc1.a0003804663,1900
uc1.a0003804671,1901
uc1.a0003804705,1901
uc1.a0003804713,1901
uc1.a0003804721,1901
uc1.a0003804739,1901
uc1.a0003804747,1901
uc1.a0003804754,1901
uc1.a0003804762,1901
uc1.a0003804770,1901
uc1.a0003804788,1901
uc1.a0003804796,1902
uc1.a0003804804,1902
uc1.a0003804812,1902
uc1.a0003804820,1902
uc1.a0003804838,1902
uc1.a0003804846,1902
uc1.a0003804853,1903
uc1.a0003804861,1903
uc1.a0003804879,1903
uc1.a0003804887,1903
uc1.a0003804895,1904
uc1.a0003804929,1904
uc1.a0003804937,1904
uc1.a0003804960,1905
uc1.a0003804978,1905
uc1.a0003804986,1905
uc1.a0003804994,1905
uc1.a0003805009,1905
uc1.a0003805017,1905
uc1.a0003805025,1905
uc1.a0003805041,1905
uc1.a0003805058,1905
uc1.a0003805066,1906
uc1.a0003805074,1906
uc1.a0003805082,1906
uc1.a0003805090,1906
uc1.a0003805116,1907
uc1.a0003805124,1907
